lat,lng,label,dwell_mins,p_success
47.6080,-122.3350,Amazon HQ Mailroom,3.0,0.97
47.6075,-122.3365,WeWork Lobby,2.5,0.96
47.6090,-122.3340,Chase Bank Office,3.0,0.95
47.6065,-122.3355,LinkedIn Office,2.5,0.97
47.6085,-122.3375,Microsoft Store,3.5,0.94
47.6070,-122.3330,Starbucks Reserve HQ,2.5,0.96
47.6095,-122.3360,Boeing HQ Mailroom,3.0,0.95
47.6060,-122.3345,REI HQ Reception,3.5,0.93
47.6080,-122.3385,Nordstrom Corp,2.5,0.97
47.6055,-122.3320,Expedia Group Office,3.0,0.96
47.6100,-122.3370,T-Mobile HQ,2.5,0.95
47.6065,-122.3395,Zillow Group Office,3.0,0.94
47.6075,-122.3310,Weyerhaeuser Tower,3.5,0.93
47.6050,-122.3360,Alaska Airlines Corp,2.5,0.97
47.6090,-122.3395,University of WA Admin,3.0,0.95
47.6045,-122.3335,Costco HQ Mailroom,3.0,0.96
47.6105,-122.3345,F5 Networks Office,2.5,0.97
47.6058,-122.3380,Tableau Office,3.5,0.94
47.6082,-122.3318,Convoy Logistics HQ,3.0,0.95
47.6040,-122.3350,Redfin Corp Office,2.5,0.96
47.6097,-122.3385,Smartsheet HQ,3.0,0.95
47.6052,-122.3305,Avalara Office,3.5,0.93
47.6088,-122.3408,Limeade Inc,2.5,0.97
47.6035,-122.3368,Accenture Seattle,3.0,0.96
47.6110,-122.3355,Deloitte Downtown,2.5,0.95
